year,respondentid,agency,rssd_id
1995,6850,1,871255
1995,6879,1,61953
1995,6907,1,132741
1995,6910,1,421445
1995,6922,1,849357
1995,6991,1,43856
1995,7030,1,509811
1995,7038,1,289467
1995,7051,1,595618
1995,7064,1,56726
1995,7087,1,956255
1995,7115,1,145554
1995,7138,1,128146
1995,7181,1,53314
1995,7187,1,369426
1995,7236,1,963730
1995,7239,1,25759
1995,7240,1,440642
1995,7240,1,440642
1995,7347,1,222857
1995,7353,1,757612
1995,7376,1,789163
1995,7501,1,875954
1995,7524,1,89957
1995,7542,1,371223
1995,7549,1,120636
1995,7550,1,823508
1995,7568,1,385538
1995,7617,1,957168
1995,7621,1,651411
1995,7638,1,273523
1995,7647,1,371755
1995,7685,1,745570
1995,7699,1,866000
1995,7702,1,278818
1995,7720,1,652856
1995,7745,1,12311
1995,7748,1,780263
1995,7772,1,22954
1995,7788,1,311050
1995,7862,1,485027
1995,7995,1,949350
1995,8051,1,311256
1995,8281,1,574257
1995,8313,1,515250
1995,8326,1,440110
1995,8378,1,279253
1995,8421,1,613213
1995,8425,1,387345
1995,8435,1,785718
1995,8450,1,432012
1995,8518,1,168852
1995,8531,1,202907
1995,8606,1,441050
1995,8636,1,567352
1995,8671,1,742944
1995,8673,1,198831
1995,8709,1,480723
1995,8713,1,238139
1995,8717,1,174406
1995,8757,1,970055
1995,8763,1,740043
1995,8763,1,740043
1995,8783,1,493013
1995,8787,1,57255
1995,8796,1,983457
1995,8845,1,657815
1995,8854,1,315629
1995,8868,1,176642
1995,8899,1,253356
1995,8921,1,501815
1995,8930,1,186717
1995,8933,1,496836
1995,8937,1,826835
1995,8953,1,591825
1995,8980,1,294331
1995,9049,1,182232
1995,9149,1,955623
1995,9179,1,489623
1995,9262,1,975452
1995,9295,1,979629
1995,9343,1,958727
1995,9369,1,453352
1995,9426,1,869207
1995,9428,1,323718
1995,9495,1,678717
1995,9498,1,197517
1995,9541,1,284819
1995,9588,1,269816
1995,9651,1,762607
1995,9656,1,331713
1995,9669,1,23504
1995,9740,1,892531
1995,9740,1,892531
1995,9788,1,656649
1995,9810,1,500256
1995,9859,1,411624
1995,9868,1,239613
1995,9886,1,384214
1995,9954,1,821755
1995,10002,1,350657
1995,10085,1,881629
1995,10102,1,929932
1995,10106,1,143952
1995,10118,1,434203
1995,10132,1,100432
1995,10148,1,754965
1995,10180,1,145545
1995,10188,1,131520
1995,10196,1,953852
1995,10225,1,43557
1995,10253,1,758721
1995,10270,1,868031
1995,10360,1,488167
1995,10420,1,514655
1995,10440,1,680617
1995,10465,1,60648
1995,10523,1,342634
1995,10533,1,67852
1995,10536,1,631422
1995,10578,1,361233
1995,10579,1,455543
1995,10583,1,1016231
1995,10592,1,428752
1995,10609,1,520049
1995,10660,1,580623
1995,10680,1,347022
1995,10750,1,970242
1995,10775,1,547112
1995,10823,1,188917
1995,10849,1,142955
1995,11010,1,500050
1995,11019,1,193162
1995,11058,1,341918
1995,11060,1,890144
1995,11125,1,731957
1995,11148,1,340340
1995,11150,1,713542
1995,11213,1,57518
1995,11230,1,872159
1995,11253,1,456858
1995,11280,1,274070
1995,11283,1,938233
1995,11308,1,628235
1995,11343,1,571920
1995,11380,1,877556
1995,11397,1,525053
1995,11410,1,209652
1995,11412,1,23755
1995,11483,1,918132
1995,11512,1,411512
1995,11573,1,738013
1995,11583,1,292908
1995,11622,1,108652
1995,11640,1,534158
1995,11642,1,272151
1995,11687,1,939959
1995,11700,1,378651
1995,11715,1,480330
1995,11734,1,152712
1995,11798,1,132451
1995,11799,1,639464
1995,11818,1,824550
1995,11875,1,249564
1995,11879,1,497954
1995,11952,1,620930
1995,12044,1,278555
1995,12047,1,236630
1995,12067,1,884451
1995,12067,1,884451
1995,12072,1,114260
1995,12098,1,742010
1995,12105,1,472036
1995,12132,1,23241
1995,12134,1,648251
1995,12141,1,185251
1995,12169,1,988452
1995,12192,1,779418
1995,12200,1,146056
1995,12236,1,108755
1995,12261,1,868817
1995,12267,1,186221
1995,12333,1,506249
1995,12346,1,499855
1995,12395,1,280558
1995,12407,1,628758
1995,12411,1,763659
1995,12425,1,29104
1995,12439,1,285852
1995,12444,1,208244
1995,12450,1,715809
1995,12467,1,277736
1995,12471,1,144913
1995,12475,1,254951
1995,12485,1,404756
1995,12488,1,529051
1995,12490,1,373357
1995,12515,1,703310
1995,12517,1,650151
1995,12523,1,575834
1995,12594,1,509400
1995,12606,1,156916
1995,12617,1,189419
1995,12697,1,47247
1995,12698,1,612355
1995,12708,1,335953
1995,12739,1,379153
1995,12747,1,873651
1995,12756,1,989860
1995,12771,1,683908
1995,12779,1,395836
1995,12810,1,647414
1995,12850,1,629353
1995,12870,1,658139
1995,12881,1,329457
1995,12936,1,120757
1995,12955,1,870650
1995,12959,1,307754
1995,12982,1,610913
1995,13022,1,494168
1995,13044,1,349361
1995,13068,1,372930
1995,13070,1,781868
1995,13075,1,123253
1995,13078,1,378558
1995,13102,1,61832
1995,13103,1,947936
1995,13107,1,860156
1995,13116,1,127055
1995,13121,1,521804
1995,13126,1,837000
1995,13131,1,798156
1995,13202,1,627854
1995,13216,1,445339
1995,13216,1,445339
1995,13236,1,350152
1995,13295,1,64619
1995,13305,1,318545
1995,13331,1,1007976
1995,13349,1,423355
1995,13353,1,915757
1995,13373,1,26233
1995,13405,1,317959
1995,13443,1,56351
1995,13472,1,415239
1995,13516,1,552161
1995,13579,1,353546
1995,13586,1,102520
1995,13587,1,871460
1995,13614,1,588058
1995,13623,1,554754
1995,13624,1,25450
1995,13641,1,737632
1995,13648,1,993559
1995,13652,1,938840
1995,13655,1,670234
1995,13660,1,1007846
1995,13668,1,239659
1995,13670,1,234551
1995,13672,1,127635
1995,13679,1,339858
1995,13681,1,460855
1995,13684,1,656733
1995,13687,1,341721
1995,13688,1,112837
1995,13689,1,78335
1995,13697,1,833141
1995,13698,1,312954
1995,13702,1,127448
1995,13705,1,885337
1995,13709,1,596633
1995,13719,1,510246
1995,13737,1,908834
1995,13742,1,217620
1995,13756,1,39756
1995,13759,1,256647
1995,13764,1,249201
1995,13770,1,829050
1995,13778,1,537560
1995,13781,1,928618
1995,13790,1,933256
1995,13806,1,253141
1995,13814,1,554455
1995,13818,1,489445
1995,13825,1,896605
1995,13828,1,704036
1995,13835,1,881900
1995,13851,1,57433
1995,13855,1,755609
1995,13871,1,107226
1995,13872,1,534345
1995,13874,1,270241
1995,13879,1,722544
1995,13899,1,754219
1995,13914,1,55019
1995,13918,1,540926
1995,13919,1,828455
1995,13927,1,551016
1995,13928,1,25450
1995,13930,1,435451
1995,13934,1,631150
1995,13936,1,936855
1995,13938,1,996448
1995,13941,1,766735
1995,13941,1,766735
1995,13949,1,951447
1995,13973,1,724351
1995,13977,1,457145
1995,13977,1,457145
1995,13983,1,618740
1995,13987,1,417448
1995,13996,1,239510
1995,13998,1,399517
1995,14008,1,779539
1995,14011,1,875619
1995,14021,1,25450
1995,14046,1,802736
1995,14050,1,101327
1995,14056,1,46642
1995,14062,1,682143
1995,14079,1,280213
1995,14090,1,1007855
1995,14109,1,775456
1995,14124,1,659257
1995,14128,1,192352
1995,14133,1,945026
1995,14137,1,431949
1995,14138,1,341646
1995,14141,1,877015
1995,14144,1,755047
1995,14146,1,552451
1995,14161,1,927536
1995,14206,1,353555
1995,14208,1,765756
1995,14221,1,678043
1995,14226,1,224749
1995,14228,1,227535
1995,14236,1,832359
1995,14240,1,632410
1995,14268,1,614948
1995,14281,1,398136
1995,14290,1,39420
1995,14294,1,204826
1995,14301,1,557317
1995,14310,1,126740
1995,14311,1,108250
1995,14315,1,119153
1995,14320,1,404747
1995,14324,1,103862
1995,14333,1,81223
1995,14343,1,149039
1995,14343,1,149039
1995,14362,1,455534
1995,14365,1,368447
1995,14366,1,591843
1995,14369,1,407645
1995,14375,1,879952
1995,14379,1,471945
1995,14384,1,728854
1995,14394,1,139272
1995,14396,1,774431
1995,14398,1,250748
1995,14399,1,215130
1995,14402,1,374934
1995,14418,1,823133
1995,14430,1,97037
1995,14444,1,637068
1995,14445,1,141734
1995,14447,1,474254
1995,14448,1,480228
1995,14450,1,133636
1995,14464,1,741938
1995,14467,1,218832
1995,14470,1,172747
1995,14484,1,184535
1995,14486,1,115333
1995,14490,1,93413
1995,14494,1,645942
1995,14495,1,817833
1995,14501,1,764414
1995,14503,1,613437
1995,14504,1,716833
1995,14510,1,659341
1995,14512,1,1017032
1995,14518,1,354132
1995,14519,1,399142
1995,14526,1,459738
1995,14529,1,236649
1995,14531,1,374354
1995,14540,1,259031
1995,14543,1,793254
1995,14546,1,125154
1995,14555,1,401344
1995,14561,1,698443
1995,14566,1,926632
1995,14569,1,817833
1995,14579,1,67311
1995,14583,1,873035
1995,14586,1,95323
1995,14590,1,357432
1995,14596,1,383534
1995,14599,1,147839
1995,14607,1,991041
1995,14611,1,679433
1995,14616,1,960159
1995,14617,1,760340
1995,14618,1,862338
1995,14625,1,638225
1995,14649,1,90234
1995,14651,1,68569
1995,14653,1,661933
1995,14662,1,717241
1995,14680,1,472616
1995,14684,1,637134
1995,14686,1,444127
1995,14688,1,2732
1995,14695,1,63069
1995,14703,1,26859
1995,14717,1,704447
1995,14731,1,913146
1995,14732,1,106939
1995,14740,1,413141
1995,14748,1,849834
1995,14749,1,637451
1995,14750,1,943107
1995,14751,1,312655
1995,14752,1,461535
1995,14757,1,739832
1995,14761,1,280110
1995,14766,1,997333
1995,14767,1,116031
1995,14773,1,755748
1995,14775,1,697231
1995,14776,1,281854
1995,14783,1,956031
1995,14789,1,206530
1995,14794,1,817664
1995,14800,1,751302
1995,14804,1,838632
1995,14804,1,838632
1995,14805,1,825052
1995,14807,1,1011526
1995,14818,1,568144
1995,14820,1,791531
1995,14838,1,34537
1995,14840,1,630210
1995,14849,1,807030
1995,14864,1,898421
1995,14874,1,703141
1995,14885,1,999038
1995,14888,1,800040
1995,14905,1,354057
1995,14907,1,1016736
1995,14911,1,915065
1995,14921,1,999748
1995,14935,1,226930
1995,14942,1,935634
1995,14945,1,955548
1995,14949,1,98454
1995,14958,1,84644
1995,14963,1,760966
1995,14977,1,873138
1995,14986,1,839255
1995,14991,1,860053
1995,14993,1,465038
1995,15015,1,433569
1995,15022,1,359847
1995,15026,1,477536
1995,15033,1,368111
1995,15038,1,424343
1995,15041,1,594639
1995,15050,1,962434
1995,15057,1,794541
1995,15058,1,643658
1995,15063,1,288853
1995,15078,1,35459
1995,15085,1,657440
1995,15088,1,810450
1995,15089,1,167060
1995,15105,1,194347
1995,15105,1,194347
1995,15108,1,205654
1995,15110,1,179456
1995,15126,1,697754
1995,15127,1,983327
1995,15136,1,884264
1995,15144,1,90159
1995,15152,1,841052
1995,15169,1,818755
1995,15170,1,904957
1995,15171,1,560353
1995,15178,1,712554
1995,15184,1,25450
1995,15187,1,827953
1995,15190,1,311331
1995,15194,1,849843
1995,15201,1,107132
1995,15225,1,490441
1995,15250,1,463061
1995,15257,1,794149
1995,15260,1,274735
1995,15267,1,817833
1995,15268,1,666031
1995,15292,1,913753
1995,15295,1,964755
1995,15309,1,715751
1995,15314,1,660927
1995,15318,1,615730
1995,15319,1,687269
1995,15340,1,663629
1995,15344,1,391333
1995,15345,1,886558
1995,15346,1,199940
1995,15347,1,80169
1995,15359,1,1454
1995,15372,1,484459
1995,15379,1,844053
1995,15383,1,828651
1995,15384,1,252760
1995,15416,1,1016316
1995,15429,1,427353
1995,15435,1,660655
1995,15455,1,479642
1995,15459,1,673431
1995,15468,1,752952
1995,15472,1,550354
1995,15480,1,371652
1995,15482,1,49241
1995,15489,1,689562
1995,15505,1,620109
1995,15509,1,914808
1995,15511,1,864341
1995,15521,1,182157
1995,15537,1,615552
1995,15543,1,477321
1995,15544,1,296661
1995,15548,1,400637
1995,15555,1,755533
1995,15556,1,803519
1995,15564,1,627555
1995,15569,1,31415
1995,15572,1,563233
1995,15576,1,141556
1995,15577,1,805317
1995,15580,1,106443
1995,15592,1,535753
1995,15593,1,393953
1995,15594,1,363835
1995,15605,1,731724
1995,15606,1,305750
1995,15608,1,848248
1995,15617,1,146159
1995,15630,1,316055
1995,15639,1,374653
1995,15642,1,651037
1995,15650,1,484422
1995,15653,1,863830
1995,15655,1,9441
1995,15656,1,474320
1995,15659,1,776350
1995,15665,1,937348
1995,15673,1,392620
1995,15696,1,220750
1995,15698,1,505550
1995,15700,1,989628
1995,15718,1,109855
1995,15723,1,810302
1995,15733,1,828110
1995,15738,1,242444
1995,15748,1,171133
1995,15750,1,428958
1995,15763,1,128959
1995,15765,1,231336
1995,15773,1,666527
1995,15790,1,229801
1995,15801,1,254849
1995,15820,1,807955
1995,15836,1,874649
1995,15904,1,682563
1995,15914,1,624330
1995,15916,1,733531
1995,15929,1,905655
1995,15972,1,412546
1995,15974,1,1002430
1995,15977,1,814430
1995,15978,1,270447
1995,15980,1,384652
1995,15985,1,601050
1995,16009,1,883249
1995,16063,1,694258
1995,16072,1,969947
1995,16073,1,79752
1995,16076,1,717737
1995,16079,1,929334
1995,16101,1,366434
1995,16108,1,730035
1995,16116,1,365138
1995,16127,1,753454
1995,16128,1,178954
1995,16142,1,567905
1995,16144,1,680466
1995,16154,1,686963
1995,16164,1,240217
1995,16176,1,203847
1995,16199,1,841436
1995,16226,1,406059
1995,16237,1,550868
1995,16240,1,841865
1995,16248,1,600129
1995,16249,1,586344
1995,16275,1,598534
1995,16286,1,728452
1995,16320,1,494654
1995,16324,1,636548
1995,16325,1,837037
1995,16338,1,443223
1995,16357,1,32766
1995,16358,1,865553
1995,16369,1,930451
1995,16374,1,109257
1995,16381,1,668950
1995,16392,1,708454
1995,16401,1,53033
1995,16405,1,507152
1995,16406,1,93628
1995,16407,1,676160
1995,16416,1,906018
1995,16422,1,243151
1995,16433,1,575423
1995,16464,1,412368
1995,16465,1,616755
1995,16471,1,710251
1995,16473,1,714839
1995,16493,1,532958
1995,16500,1,261632
1995,16523,1,698573
1995,16542,1,711940
1995,16550,1,209661
1995,16553,1,578237
1995,16555,1,983569
1995,16560,1,293026
1995,16584,1,277240
1995,16589,1,329635
1995,16593,1,1006344
1995,16596,1,226154
1995,16601,1,421838
1995,16604,1,247140
1995,16617,1,498362
1995,16618,1,986168
1995,16625,1,424352
1995,16626,1,428060
1995,16643,1,436739
1995,16658,1,778466
1995,16660,1,445843
1995,16660,1,445843
1995,16663,1,707578
1995,16686,1,755551
1995,16696,1,676021
1995,16703,1,1006867
1995,16715,1,611143
1995,16716,1,468253
1995,16718,1,793151
1995,16720,1,659622
1995,16723,1,56557
1995,16731,1,471169
1995,16752,1,766258
1995,16754,1,470751
1995,16765,1,936556
1995,16773,1,26916
1995,16773,1,26916
1995,16776,1,747435
1995,16786,1,298133
1995,16792,1,207069
1995,16804,1,83638
1995,16809,1,334264
1995,16811,1,605263
1995,16819,1,451077
1995,16840,1,300063
1995,16870,1,73031
1995,16875,1,582850
1995,16880,1,942838
1995,16883,1,289065
1995,16890,1,425461
1995,16892,1,412751
1995,16905,1,480116
1995,16905,1,480116
1995,16908,1,50461
1995,16910,1,931654
1995,16912,1,652164
1995,16921,1,472951
1995,16929,1,367851
1995,16930,1,848369
1995,16930,1,848369
1995,16941,1,98641
1995,16945,1,647254
1995,16947,1,356257
1995,16949,1,237945
1995,16953,1,947459
1995,16968,1,412050
1995,16977,1,551052
1995,16999,1,307857
1995,17000,1,427858
1995,17001,1,240954
1995,17008,1,251325
1995,17010,1,542050
1995,17020,1,472858
1995,17037,1,291152
1995,17038,1,101738
1995,17043,1,599764
1995,17045,1,106359
1995,17052,1,643461
1995,17076,1,442356
1995,17089,1,807665
1995,17091,1,690858
1995,17094,1,363415
1995,17102,1,293222
1995,17111,1,254867
1995,17112,1,380038
1995,17113,1,645559
1995,17114,1,127260
1995,17121,1,1004265
1995,17128,1,182540
1995,17129,1,43669
1995,17143,1,756259
1995,17146,1,736804
1995,17164,1,840859
1995,17166,1,337461
1995,17174,1,347956
1995,17176,1,519360
1995,17197,1,99004
1995,17216,1,689665
1995,17226,1,716552
1995,17241,1,603979
1995,17248,1,597162
1995,17248,1,597162
1995,17257,1,37378
1995,17258,1,423467
1995,17277,1,951737
1995,17278,1,653723
1995,17280,1,756268
1995,17290,1,263551
1995,17292,1,30436
1995,17298,1,799667
1995,17299,1,834139
1995,17306,1,800965
1995,17319,1,307361
1995,17366,1,2047504
1995,17367,1,939061
1995,17374,1,517768
1995,17379,1,401157
1995,17383,1,863362
1995,17393,1,77516
1995,17419,1,190264
1995,17423,1,494261
1995,17437,1,101233
1995,17457,1,30856
1995,17460,1,271855
1995,17462,1,853158
1995,17478,1,182755
1995,17479,1,676656
1995,17480,1,667869
1995,17487,1,665931
1995,17507,1,1002168
1995,17508,1,481270
1995,17510,1,487366
1995,17513,1,277259
1995,17515,1,21555
1995,17525,1,285544
1995,17526,1,939155
1995,17528,1,197030
1995,17539,1,436319
1995,17546,1,844165
1995,17548,1,209362
1995,17553,1,646837
1995,17577,1,362463
1995,17591,1,294256
1995,17595,1,480817
1995,17596,1,528054
1995,17608,1,829359
1995,17611,1,842460
1995,17612,1,214151
1995,17614,1,469858
1995,17619,1,339456
1995,17620,1,211954
1995,17623,1,163763
1995,17629,1,792716
1995,17631,1,165767
1995,17640,1,897367
1995,17641,1,905860
1995,17675,1,985732
1995,17676,1,417064
1995,17683,1,1015560
1995,17689,1,576859
1995,17694,1,619859
1995,17695,1,794037
1995,17710,1,179559
1995,17721,1,938813
1995,17728,1,980353
1995,17731,1,606569
1995,17736,1,728854
1995,17744,1,412751
1995,17745,1,314051
1995,17751,1,846262
1995,17753,1,942333
1995,17772,1,216258
1995,17785,1,301668
1995,17786,1,735928
1995,17800,1,422750
1995,17816,1,513050
1995,17826,1,528960
1995,17828,1,1015467
1995,17837,1,280343
1995,17862,1,400365
1995,17863,1,531269
1995,17868,1,777160
1995,17884,1,394969
1995,17899,1,732226
1995,17911,1,966955
1995,17915,1,965163
1995,17917,1,518868
1995,17926,1,283652
1995,17927,1,842031
1995,17931,1,443951
1995,17933,1,873165
1995,17933,1,873165
1995,17935,1,900463
1995,17949,1,943068
1995,17954,1,167257
1995,18007,1,748852
1995,18023,1,387868
1995,18029,1,7166
1995,18049,1,139900
1995,18054,1,293053
1995,18063,1,346566
1995,18068,1,831857
1995,18073,1,836955
1995,18076,1,787150
1995,18089,1,61430
1995,18092,1,764366
1995,18095,1,255462
1995,18097,1,517124
1995,18101,1,358738
1995,18104,1,888954
1995,18120,1,707055
1995,18125,1,932062
1995,18132,1,1009934
1995,18148,1,44451
1995,18157,1,786863
1995,18159,1,98360
1995,18162,1,47452
1995,18165,1,579252
1995,18168,1,795258
1995,18168,1,795258
1995,18182,1,195867
1995,18188,1,463557
1995,18205,1,196051
1995,18214,1,216230
1995,18228,1,848855
1995,18236,1,252836
1995,18242,1,754068
1995,18244,1,650357
1995,18255,1,267755
1995,18264,1,720867
1995,18269,1,822145
1995,18270,1,392031
1995,18273,1,883810
1995,18280,1,553766
1995,18282,1,223023
1995,18283,1,44433
1995,18291,1,1009550
1995,18295,1,49362
1995,18297,1,486154
1995,18299,1,556057
1995,18302,1,984557
1995,18307,1,718855
1995,18308,1,273457
1995,18309,1,868134
1995,18331,1,604257
1995,18340,1,903530
1995,18342,1,782221
1995,18346,1,225858
1995,18347,1,672368
1995,18349,1,714259
1995,18350,1,1006867
1995,18356,1,442039
1995,18358,1,403067
1995,18366,1,701754
1995,18368,1,466558
1995,18377,1,371308
1995,18380,1,125453
1995,18401,1,957252
1995,18402,1,580753
1995,18404,1,449579
1995,18419,1,728854
1995,18421,1,144959
1995,18427,1,348458
1995,18430,1,396253
1995,18430,1,396253
1995,18431,1,98717
1995,18432,1,810900
1995,18435,1,663656
1995,18454,1,816760
1995,18468,1,909859
1995,18475,1,195353
1995,18478,1,139656
1995,18480,1,894553
1995,18484,1,223331
1995,18541,1,236667
1995,18542,1,420868
1995,18545,1,469157
1995,18548,1,806350
1995,18548,1,806350
1995,18551,1,262965
1995,18553,1,759045
1995,18554,1,956750
1995,18558,1,536059
1995,18560,1,196958
1995,18578,1,626950
1995,18584,1,628730
1995,18595,1,781466
1995,18596,1,316158
1995,18606,1,925710
1995,18612,1,685658
1995,18613,1,481430
1995,18625,1,452458
1995,18629,1,682732
1995,18629,1,682732
1995,18641,1,605852
1995,18644,1,980353
1995,18647,1,274650
1995,18660,1,442253
1995,18667,1,411464
1995,18677,1,88503
1995,18684,1,436467
1995,18686,1,175560
1995,18687,1,814261
1995,18695,1,646668
1995,18696,1,145460
1995,18704,1,297453
1995,18711,1,98678
1995,18731,1,869261
1995,18732,1,215541
1995,18746,1,1219144
1995,18750,1,1395525
1995,18751,1,1187494
1995,18752,1,1198641
1995,18755,1,1392999
1995,18763,1,696430
1995,18764,1,1392869
1995,18765,1,1392654
1995,18771,1,1437199
1995,18778,1,451741
1995,18781,1,941242
1995,18782,1,1819058
1995,18782,1,1819058
1995,18785,1,294872
1995,18821,1,830373
1995,20005,1,682563
1995,20010,1,577137
1995,20014,1,279963
1995,20016,1,63957
1995,20065,1,413655
1995,20078,1,375566
1995,20150,1,310736
1995,20157,1,238737
1995,20184,1,594853
1995,20191,1,797841
1995,20192,1,76555
1995,20193,1,426057
1995,20214,1,188430
1995,20221,1,911919
1995,20239,1,918459
1995,20254,1,698265
1995,20255,1,1005860
1995,20344,1,980465
1995,20372,1,564557
1995,20415,1,638355
1995,20416,1,32159
1995,20420,1,1956720
1995,20421,1,455057
1995,20439,1,648952
